client_name,dependent_name,dependency_name
"bala","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"bala","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"bala","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"bala","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"bala","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"bbb","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"bbb","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"bravo","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"bravo","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"bravo","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"bravo","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"bravo","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"brcc","looker.vw_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"brcc","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"brcc","looker.vw_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"brcc","ext.vvw_adspend_order_attribution_4","ext.vw_marketing_adspend"
"brcc","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"brcc","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"cbi","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"cbi","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"cbi","ext.vvw_marketing_campaign_mapping_1","ext.vw_marketing_source_medium_mapping"
"cbi","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"cbi","ext.vvw_adspend_order_attribution_2","ext.vw_marketing_adspend"
"cbi","ext.vvw_adspend_order_attribution_2","ext.vw_marketing_order_attribution"
"cbi","ext.vvw_marketing_source_medium_mapping_1","ext.vw_marketing_source_medium_override"
"cbi","ext.vvw_marketing_campaign_mapping_1","ext.vw_marketing_campaign_all"
"cbi","ext.vvw_marketing_campaign_mapping_1","ext.vw_marketing_campaign_override"
"cbi","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"cbi","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"cross","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"eddieb","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_adspend"
"eddieb","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_order_attribution"
"eddieb","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_source_medium_mapping"
"eddieb","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"eddieb","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"eddieb","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"eddieb","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"eddieb","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"esb","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"esb","looker.vw_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"esb","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"esb","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"esb","looker.vw_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"esb","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"esb","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"foundry","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"foundry","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"foundry","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"foundry","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"foundry","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"ftd","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"ftd","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"ftd","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_source_medium_mapping"
"ftd","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"ftd","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_adspend"
"ftd","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_order_attribution"
"ftd","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"ftd","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"ghcc","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"ghcc","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"ghcc","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_source_medium_mapping"
"ghcc","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"ghcc","ext.vvw_adspend_order_attribution_4","ext.vw_marketing_adspend"
"ghcc","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_adspend"
"ghcc","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_order_attribution"
"ghcc","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"ghcc","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"gldn","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"gldn","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"gldn","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"gldn","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"gldn","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"ippolita","ext.vvw_marketing_source_medium_override_1","ext.mv_marketing_source_medium_override"
"ippolita","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"ippolita","ext.vvw_adspend_order_attribution_2","ext.vw_marketing_adspend"
"ippolita","ext.vvw_adspend_order_attribution_2","ext.vw_marketing_order_attribution"
"ippolita","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"ippolita","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"jco","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"lantern","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"lantern","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"lovevery","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"lucky","ext.vvw_marketing_adspend_1","ext.mv_marketing_campaign_mapping"
"lucky","ext.vvw_marketing_order_attribution_1","ext.mv_marketing_campaign_mapping"
"lucky","ext.vvw_adspend_order_attribution_3","ext.mv_marketing_campaign_mapping"
"lucky","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"lucky","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"lucky","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"lucky","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"lucky","Materialize mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"mejuri","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"mejuri","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"mejuri","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"mejuri","ext.vvw_adspend_order_attribution_4","ext.vw_marketing_adspend"
"mejuri","ext.vvw_adspend_order_attribution_4","ext.vw_marketing_order_attribution"
"mejuri","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"mejuri","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"miir","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"miir","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"miir","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"miir","ext.vvw_marketing_source_medium_override_1","ext.mv_marketing_source_medium_override"
"miir","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"miir","ext.vvw_adspend_order_attribution_3","ext.vw_marketing_adspend"
"miir","ext.vvw_adspend_order_attribution_3","ext.vw_marketing_order_attribution"
"miir","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"mw","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"mw","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"mw","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"mw","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"or","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"or","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"or","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"or","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"or","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"organifi","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"organifi","ext.vvw_adspend_order_attribution_5","ext.vw_marketing_source_medium_mapping"
"organifi","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"organifi","ext.vvw_adspend_order_attribution_6","ext.vw_marketing_source_medium_mapping"
"organifi","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"organifi","ext.vvw_marketing_source_medium_override_1","ext.mv_marketing_source_medium_override"
"organifi","ext.vvw_marketing_source_medium_override_JON","ext.mv_marketing_source_medium_override"
"organifi","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"organifi","ext.vvw_adspend_order_attribution_5","ext.vw_marketing_adspend"
"organifi","ext.vvw_adspend_order_attribution_6","ext.vw_marketing_adspend"
"organifi","ext.vvw_adspend_order_attribution_5","ext.vw_marketing_order_attribution"
"organifi","ext.vvw_adspend_order_attribution_6","ext.vw_marketing_order_attribution"
"organifi","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"ovme","ext.vvw_marketing_source_medium_override_1","ext.mv_marketing_source_medium_override"
"ovme","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"ovme","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"ovme","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"ovme","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_source_medium_mapping"
"ovme","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"ovme","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_adspend"
"ovme","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_order_attribution"
"ovme","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"pacsun","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"pacsun","ext.vvw_adspend_order_attribution_2","ext.vw_marketing_source_medium_mapping"
"pacsun","ext.vvw_adspend_order_attribution_4","ext.vw_marketing_source_medium_mapping"
"pacsun","ext.vvw_adspend_order_attribution_3","ext.vw_marketing_source_medium_mapping"
"pacsun","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"pacsun","ext.vw_mcf_ecommerce","ext.vw_marketing_source_medium_mapping"
"pacsun","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"pacsun","ext.vvw_adspend_order_attribution_2","ext.vw_marketing_adspend"
"pacsun","ext.vvw_adspend_order_attribution_4","ext.vw_marketing_adspend"
"pacsun","ext.vvw_adspend_order_attribution_3","ext.vw_marketing_adspend"
"pacsun","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_adspend"
"pacsun","ext.vvw_adspend_order_attribution_2","ext.vw_marketing_order_attribution"
"pacsun","ext.vvw_adspend_order_attribution_4","ext.vw_marketing_order_attribution"
"pacsun","ext.vvw_adspend_order_attribution_3","ext.vw_marketing_order_attribution"
"pacsun","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_order_attribution"
"pacsun","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"pacsun","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"rainbow","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"rp","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"rp","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"rp","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_source_medium_mapping"
"rp","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"rp","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_adspend"
"rp","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_order_attribution"
"rp","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"rp","Materialize core marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"tempo","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"tempo","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"tempo","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"tempo","ext.vw_marketing_source_medium_override","ext.mv_marketing_source_medium_override"
"tempo","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
"truthbar","core.vw_marketing_campaign_override","ext.vw_marketing_campaign_override"
"truthbar","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping"
"truthbar","client_directaccess.sc_marketing_source_medium_mapping","ext.vw_marketing_source_medium_mapping_with_stats"
"truthbar","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_adspend"
"truthbar","ext.vvw_adspend_order_attribution_1","ext.vw_marketing_order_attribution"
"tumi","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"velo","ext.vw_marketing_source_medium_mapping_with_stats","ext.vw_marketing_source_medium_mapping"
"velo","Materialize core mv_marketing_campaign_mapping","ext.vw_marketing_campaign_mapping"
