client_name, versioned_view_name
"bala", "ext.vvw_customer_metrics_0"
"bala", "ext.vvw_inventory_0"
"bala", "ext.vvw_marketing_funnel_data_0"
"bala", "ext.vvw_marketing_funnel_data_1"
"bala", "ext.vvw_order_fulfillment_items_0"
"bala", "ext.vvw_orders_staging_0"
"bala", "ext.vvw_orders_staging_1"
"bala", "ext.vvw_orders_staging_2"
"bala", "ext.vvw_orders_staging_3"
"bala", "ext.vvw_variable_cost_0"
"bala", "ext.vvw_warehouse_locations_0"
"bbb", "ext.vvw_cuids_to_process_2"
"bbb", "ext.vvw_customer_metrics_0"
"bbb", "ext.vvw_inventory_0"
"bbb", "ext.vvw_order_fulfillment_items_0"
"bbb", "ext.vvw_order_fulfillment_items_1"
"bbb", "ext.vvw_orders_staging_0"
"bbb", "ext.vvw_products_0"
"bbb", "ext.vvw_products_1"
"bbb", "ext.vvw_sku_mapping_gaps_0"
"bbb", "ext.vvw_warehouse_locations_0"
"bravo", "ext.vvw_adspend_order_attribution_4"
"bravo", "ext.vvw_customer_metrics_1"
"bravo", "ext.vvw_customer_metrics_lapses_0"
"bravo", "ext.vvw_customers_4"
"bravo", "ext.vvw_marketing_campaign_all_1"
"bravo", "ext.vvw_marketing_funnel_data_0"
"bravo", "ext.vvw_marketing_order_attribution_1"
"bravo", "ext.vvw_order_fulfillment_items_mes"
"bravo", "ext.vvw_orders_staging_2"
"bravo", "ext.vvw_products_2"
"brcc", "ext.vvw_adspend_order_attribution_4"
"brcc", "ext.vvw_aggregated_order_history_3"
"brcc", "ext.vvw_baskets_0"
"brcc", "ext.vvw_customer_metrics_2"
"brcc", "ext.vvw_customer_metrics_lapses_0"
"brcc", "ext.vvw_marketing_campaign_override_1"
"brcc", "ext.vvw_marketing_campaign_performance_0"
"brcc", "ext.vvw_marketing_funnel_data_0"
"brcc", "ext.vvw_order_flow_3"
"brcc", "ext.vvw_order_flow_4"
"brcc", "ext.vvw_order_fulfillment_items_mes"
"brcc", "ext.vvw_products_2"
"brcc", "ext.vvw_subscription_metrics_1"
"brcc", "ext.vvw_subscriptions_by_date_3"
"cbi", "ext.vvw_adspend_order_attribution_2"
"cbi", "ext.vvw_cuids_to_process_1"
"cbi", "ext.vvw_customer_metrics_0"
"cbi", "ext.vvw_customers_1"
"cbi", "ext.vvw_inventory_0"
"cbi", "ext.vvw_inventory_1"
"cbi", "ext.vvw_inventory_2"
"cbi", "ext.vvw_marketing_campaign_all_1"
"cbi", "ext.vvw_marketing_campaign_mapping_1"
"cbi", "ext.vvw_marketing_campaign_override_1"
"cbi", "ext.vvw_marketing_campaign_performance_0"
"cbi", "ext.vvw_marketing_funnel_data_0"
"cbi", "ext.vvw_marketing_order_attribution_1"
"cbi", "ext.vvw_marketing_source_medium_all_1"
"cbi", "ext.vvw_marketing_source_medium_mapping_1"
"cbi", "ext.vvw_shopify_transactions_2"
"cbi", "ext.vvw_warehouse_locations_0"
"cross", "core.vvw_customer_metrics_daily_1"
"cross", "ext.vvw_adspend_order_attribution_3"
"cross", "ext.vvw_customer_metrics_1"
"cross", "ext.vvw_customer_metrics_lapses_0"
"cross", "ext.vvw_customers_5"
"cross", "ext.vvw_master_items_0"
"cross", "ext.vvw_orders_shipping_1"
"eddieb", "ext.vvw_adspend_order_attribution_0"
"eddieb", "ext.vvw_cuids_to_process_1"
"eddieb", "ext.vvw_cuids_to_process_al"
"eddieb", "ext.vvw_customer_metrics_0"
"eddieb", "ext.vvw_customers_3"
"eddieb", "ext.vvw_inventory_0"
"eddieb", "ext.vvw_marketing_campaign_performance_0"
"eddieb", "ext.vvw_marketing_source_medium_override_0"
"eddieb", "ext.vvw_master_items_0"
"eddieb", "ext.vvw_order_fulfillment_items_3"
"eddieb", "ext.vvw_order_history_6"
"eddieb", "ext.vvw_order_history_mes"
"eddieb", "ext.vvw_orders_staging_0"
"eddieb", "ext.vvw_orders_staging_1"
"eddieb", "ext.vvw_orders_staging_al"
"eddieb", "ext.vvw_sku_mapping_gaps_0"
"eddieb", "ext.vvw_warehouse_locations_0"
"esb", "ext.vvw_customer_metrics_0"
"esb", "ext.vvw_marketing_funnel_data_0"
"esb", "ext.vvw_orders_staging_0"
"esb", "ext.vvw_warehouse_locations_0"
"foundry", "ext.vvw_customer_metrics_0"
"foundry", "ext.vvw_marketing_funnel_data_0"
"foundry", "ext.vvw_orders_staging_0"
"foundry", "ext.vvw_products_0"
"foundry", "ext.vvw_warehouse_locations_0"
"ftd", "ext.vvw_adspend_order_attribution_1"
"ftd", "ext.vvw_customer_metrics_0"
"ftd", "ext.vvw_customers_1"
"ftd", "ext.vvw_ftd_order_history_1"
"ftd", "ext.vvw_marketing_funnel_data_0"
"ftd", "ext.vvw_order_fulfillment_items_0"
"ftd", "ext.vvw_orders_staging_0"
"ftd", "ext.vvw_sku_images_0"
"ftd", "ext.vvw_warehouse_locations_0"
"ftd", "ext.vvw_wbr_email_1"
"ftd", "ext.vvw_wbr_marketing_2"
"ftd", "ext.vvw_wbr_merchandising_skus_2"
"ghcc", "ext.vvw_adspend_order_attribution_0"
"ghcc", "ext.vvw_adspend_order_attribution_4"
"ghcc", "ext.vvw_aggregated_order_history_1"
"ghcc", "ext.vvw_baskets_0"
"ghcc", "ext.vvw_categories_1"
"ghcc", "ext.vvw_customer_metrics_1"
"ghcc", "ext.vvw_customer_metrics_lapses_0"
"ghcc", "ext.vvw_marketing_adspend_1"
