client_name, operation, object_name
"bala", "deleted", "ext.vvw_customer_metrics_0"
"bala", "deleted", "ext.vvw_inventory_0"
"bala", "deleted", "ext.vvw_marketing_funnel_data_0"
"bala", "deleted", "ext.vvw_order_fulfillment_items_0"
"bala", "deleted", "ext.vvw_orders_staging_0"
"bala", "deleted", "ext.vvw_variable_cost_0"
"bala", "deleted", "ext.vvw_warehouse_locations_0"
"bbb", "deleted", "ext.vvw_customer_metrics_0"
"bbb", "deleted", "ext.vvw_inventory_0"
"bbb", "deleted", "ext.vvw_order_fulfillment_items_0"
"bbb", "deleted", "ext.vvw_orders_staging_0"
"bbb", "deleted", "ext.vvw_products_0"
"bbb", "deleted", "ext.vvw_sku_mapping_gaps_0"
"bbb", "deleted", "ext.vvw_warehouse_locations_0"
"bravo", "deleted", "ext.vvw_customer_metrics_lapses_0"
"bravo", "deleted", "ext.vvw_marketing_funnel_data_0"
"brcc", "deleted", "ext.vvw_baskets_0"
"brcc", "deleted", "ext.vvw_customer_metrics_lapses_0"
"brcc", "deleted", "ext.vvw_marketing_campaign_performance_0"
"brcc", "deleted", "ext.vvw_marketing_funnel_data_0"
"cbi", "deleted", "ext.vvw_customer_metrics_0"
"cbi", "deleted", "ext.vvw_inventory_0"
"cbi", "deleted", "ext.vvw_marketing_campaign_performance_0"
"cbi", "deleted", "ext.vvw_marketing_funnel_data_0"
"cbi", "deleted", "ext.vvw_warehouse_locations_0"
"cross", "deleted", "ext.vvw_customer_metrics_lapses_0"
"cross", "deleted", "ext.vvw_master_items_0"
"eddieb", "deleted", "ext.vvw_adspend_order_attribution_0"
"eddieb", "deleted", "ext.vvw_customer_metrics_0"
"eddieb", "deleted", "ext.vvw_inventory_0"
"eddieb", "deleted", "ext.vvw_marketing_campaign_performance_0"
"eddieb", "deleted", "ext.vvw_marketing_source_medium_override_0"
"eddieb", "deleted", "ext.vvw_master_items_0"
"eddieb", "deleted", "ext.vvw_orders_staging_0"
"eddieb", "deleted", "ext.vvw_sku_mapping_gaps_0"
"eddieb", "deleted", "ext.vvw_warehouse_locations_0"
"esb", "deleted", "ext.vvw_customer_metrics_0"
"esb", "deleted", "ext.vvw_marketing_funnel_data_0"
"esb", "deleted", "ext.vvw_orders_staging_0"
"esb", "deleted", "ext.vvw_warehouse_locations_0"
"foundry", "deleted", "ext.vvw_customer_metrics_0"
"foundry", "deleted", "ext.vvw_marketing_funnel_data_0"
"foundry", "deleted", "ext.vvw_orders_staging_0"
"foundry", "deleted", "ext.vvw_products_0"
"foundry", "deleted", "ext.vvw_warehouse_locations_0"
"ftd", "deleted", "ext.vvw_customer_metrics_0"
"ftd", "deleted", "ext.vvw_marketing_funnel_data_0"
"ftd", "deleted", "ext.vvw_order_fulfillment_items_0"
"ftd", "deleted", "ext.vvw_orders_staging_0"
"ftd", "deleted", "ext.vvw_sku_images_0"
"ftd", "deleted", "ext.vvw_warehouse_locations_0"
"ghcc", "deleted", "ext.vvw_adspend_order_attribution_0"
"ghcc", "deleted", "ext.vvw_baskets_0"
"ghcc", "deleted", "ext.vvw_customer_metrics_lapses_0"
"ghcc", "deleted", "ext.vvw_marketing_funnel_data_0"
"ghcc", "deleted", "ext.vvw_order_flow_0"
"gldn", "deleted", "ext.vvw_cuids_to_process_0"
"gldn", "deleted", "ext.vvw_customer_metrics_0"
"gldn", "deleted", "ext.vvw_marketing_funnel_data_0"
"gldn", "deleted", "ext.vvw_warehouse_locations_0"
"ippolita", "deleted", "ext.vvw_customer_metrics_0"
"ippolita", "deleted", "ext.vvw_marketing_funnel_data_0"
"ippolita", "deleted", "ext.vvw_marketing_source_medium_override_0"
"ippolita", "deleted", "ext.vvw_orders_staging_0"
"ippolita", "deleted", "ext.vvw_sku_mapping_gaps_0"
"ippolita", "deleted", "ext.vvw_warehouse_locations_0"
"jco", "deleted", "ext.vvw_customer_metrics_0"
"jco", "deleted", "ext.vvw_warehouse_locations_0"
"lantern", "deleted", "ext.vvw_customer_metrics_0"
"lantern", "deleted", "ext.vvw_marketing_adspend_0"
"lantern", "deleted", "ext.vvw_marketing_source_medium_override_0"
"lantern", "deleted", "ext.vvw_warehouse_locations_0"
"lovevery", "deleted", "ext.vvw_customer_metrics_0"
"lovevery", "deleted", "ext.vvw_master_items_0"
"lovevery", "deleted", "ext.vvw_warehouse_locations_0"
"lucky", "deleted", "ext.vvw_customer_metrics_lapses_0"
"lucky", "deleted", "ext.vvw_inventory_0"
"lucky", "deleted", "ext.vvw_marketing_campaign_performance_0"
"lucky", "deleted", "ext.vvw_marketing_funnel_data_0"
"lucky", "deleted", "ext.vvw_marketing_source_medium_all_0"
"lucky", "deleted", "ext.vvw_master_items_0"
"lucky", "deleted", "ext.vvw_pii_customers_to_process_0"
"lucky", "deleted", "ext.vvw_pii_links_to_process_0"
"lucky", "deleted", "ext.vvw_tracking_information_0"
"lucky", "deleted", "ext.vvw_ups_shipment_0"
"lucky", "deleted", "ext.vvw_warehouse_locations_0"
"mejuri", "deleted", "ext.vvw_customer_metrics_daily_0"
"mejuri", "deleted", "ext.vvw_marketing_funnel_data_0"
"mejuri", "deleted", "ext.vvw_master_items_0"
"mejuri", "deleted", "ext.vvw_warehouse_locations_0"
"miir", "deleted", "ext.vvw_customer_metrics_0"
"miir", "deleted", "ext.vvw_inventory_0"
"miir", "deleted", "ext.vvw_marketing_adspend_0"
"miir", "deleted", "ext.vvw_marketing_source_medium_override_0"
"miir", "deleted", "ext.vvw_order_fulfillment_items_0"
"miir", "deleted", "ext.vvw_orders_staging_0"
"miir", "deleted", "ext.vvw_warehouse_locations_0"
"mw", "deleted", "ext.vvw_customer_metrics_0"
"mw", "deleted", "ext.vvw_marketing_funnel_data_0"
"mw", "deleted", "ext.vvw_warehouse_locations_0"
"or", "deleted", "ext.vvw_customer_metrics_0"
"or", "deleted", "ext.vvw_marketing_funnel_data_0"
"or", "deleted", "ext.vvw_warehouse_locations_0"
"organifi", "deleted", "ext.vvw_adspend_order_attribution_0"
"organifi", "deleted", "ext.vvw_customer_metrics_0"
"organifi", "deleted", "ext.vvw_flattened_skus_0"
"organifi", "deleted", "ext.vvw_marketing_adspend_0"
"organifi", "deleted", "ext.vvw_marketing_campaign_performance_0"
"organifi", "deleted", "ext.vvw_marketing_funnel_data_0"
"organifi", "deleted", "ext.vvw_marketing_order_attribution_0"
"organifi", "deleted", "ext.vvw_marketing_source_medium_override_0"
"organifi", "deleted", "ext.vvw_master_items_0"
"organifi", "deleted", "ext.vvw_order_fulfillment_items_0"
"organifi", "deleted", "ext.vvw_orders_staging_0"
"organifi", "deleted", "ext.vvw_warehouse_locations_0"
"ovme", "deleted", "ext.vvw_adspend_order_attribution_0"
"ovme", "deleted", "ext.vvw_customer_metrics_0"
"ovme", "deleted", "ext.vvw_marketing_adspend_0"
"ovme", "deleted", "ext.vvw_marketing_campaign_performance_0"
"ovme", "deleted", "ext.vvw_marketing_funnel_data_0"
"ovme", "deleted", "ext.vvw_order_fulfillment_items_0"
"ovme", "deleted", "ext.vvw_orders_staging_0"
"ovme", "deleted", "ext.vvw_products_0"
"ovme", "deleted", "ext.vvw_warehouse_locations_0"
"pacsun", "deleted", "ext.vvw_customer_metrics_0"
"pacsun", "deleted", "ext.vvw_marketing_funnel_data_0"
"pacsun", "deleted", "ext.vvw_marketing_source_medium_all_0"
"pacsun", "deleted", "ext.vvw_products_0"
"pacsun", "deleted", "ext.vvw_warehouse_locations_0"
"rainbow", "deleted", "ext.vvw_cuids_to_process_0"
"rainbow", "deleted", "ext.vvw_customer_metrics_0"
"rainbow", "deleted", "ext.vvw_marketing_adspend_0"
"rainbow", "deleted", "ext.vvw_marketing_source_medium_override_0"
"rainbow", "deleted", "ext.vvw_orders_staging_0"
"rainbow", "deleted", "ext.vvw_products_0"
"rainbow", "deleted", "ext.vvw_warehouse_locations_0"
"rp", "deleted", "ext.vvw_customer_metrics_0"
"rp", "deleted", "ext.vvw_customers_0"
"rp", "deleted", "ext.vvw_inventory_0"
"rp", "deleted", "ext.vvw_marketing_funnel_data_0"
"rp", "deleted", "ext.vvw_master_items_0"
"rp", "deleted", "ext.vvw_pii_customers_to_process_0"
"rp", "deleted", "ext.vvw_pii_links_to_process_0"
"rp", "deleted", "ext.vvw_sku_mapping_gaps_0"
"rp", "deleted", "ext.vvw_warehouse_locations_0"
"tempo", "deleted", "ext.vvw_customer_metrics_0"
"tempo", "deleted", "ext.vvw_marketing_funnel_data_0"
"tempo", "deleted", "ext.vvw_order_fulfillment_items_0"
"tempo", "deleted", "ext.vvw_orders_staging_0"
"tempo", "deleted", "ext.vvw_warehouse_locations_0"
"truthbar", "deleted", "client_directaccess.vvw_adspend_order_attribution_0"
